No.;Penggunaan Uang untuk Pendidikan;Tingkat Pendidikan Responden;Jumlah Anak;Tingkat Pendidikan Ayah;Tingkat Pendidikan Ibu;Harapan terhadap Pemerintah
1;2;1;4;4;1;1
2;1;1;3;3;1;1
3;1;1;4;3;3;1
4;1;1;3;4;3;1
5;3;1;3;3;1;1
6;3;1;3;3;1;1
7;4;3;2;2;4;1
8;1;2;4;3;2;1
9;1;1;3;4;2;1
10;1;1;4;3;4;1
11;4;3;2;2;4;1
12;3;3;1;2;4;1
13;4;3;1;1;4;1
14;4;3;3;2;4;1
15;1;2;3;3;1;1
16;3;1;2;2;1;1
17;1;1;2;2;3;1
18;3;2;2;2;3;1
19;1;1;3;2;1;1
20;4;1;2;2;1;1
21;3;1;2;3;4;1
22;1;1;2;2;2;1
23;2;1;2;3;4;1
24;3;2;2;2;1;1
25;3;2;2;1;3;1
